,Description,description,tokens,cleaned_tokens
0,"In applications, particularly web applications, access to functionality is mitigated by an authorization framework. This framework maps Access Control Lists (ACLs) to elements of the application's functionality; particularly URL's for web apps. In the case that the administrator failed to specify an ACL for a particular element, an attacker may be able to access it with impunity. An attacker with the ability to access functionality not properly constrained by ACLs can obtain sensitive information and possibly compromise the entire application. Such an attacker can access resources that must be available only to users at a higher privilege level, can access management sections of the application, or can run queries for data that they otherwise not supposed to.",in applications  particularly web applications  access to functionality is mitigated by an authorization framework this framework maps access control lists  acls  to elements of the application s functionality  particularly url s for web apps in the case that the administrator failed to specify an acl for a particular element  an attacker may be able to access it with impunity an attacker with the ability to access functionality not properly constrained by acls can obtain sensitive information and possibly compromise the entire application such an attacker can access resources that must be available only to users at a higher privilege level  can access management sections of the application  or can run queries for data that they otherwise not supposed to ,"['in', 'applications', 'particularly', 'web', 'applications', 'access', 'to', 'functionality', 'is', 'mitigated', 'by', 'an', 'authorization', 'framework', 'this', 'framework', 'maps', 'access', 'control', 'lists', 'acls', 'to', 'elements', 'of', 'the', 'application', 's', 'functionality', 'particularly', 'url', 's', 'for', 'web', 'apps', 'in', 'the', 'case', 'that', 'the', 'administrator', 'failed', 'to', 'specify', 'an', 'acl', 'for', 'a', 'particular', 'element', 'an', 'attacker', 'may', 'be', 'able', 'to', 'access', 'it', 'with', 'impunity', 'an', 'attacker', 'with', 'the', 'ability', 'to', 'access', 'functionality', 'not', 'properly', 'constrained', 'by', 'acls', 'can', 'obtain', 'sensitive', 'information', 'and', 'possibly', 'compromise', 'the', 'entire', 'application', 'such', 'an', 'attacker', 'can', 'access', 'resources', 'that', 'must', 'be', 'available', 'only', 'to', 'users', 'at', 'a', 'higher', 'privilege', 'level', 'can', 'access', 'management', 'sections', 'of', 'the', 'application', 'or', 'can', 'run', 'queries', 'for', 'data', 'that', 'they', 'otherwise', 'not', 'supposed', 'to']","['applications', 'particularly', 'web', 'applications', 'access', 'functionality', 'mitigated', 'authorization', 'framework', 'framework', 'maps', 'access', 'control', 'lists', 'acls', 'elements', 'application', 'functionality', 'particularly', 'url', 'web', 'apps', 'case', 'administrator', 'failed', 'specify', 'acl', 'particular', 'element', 'attacker', 'may', 'able', 'access', 'impunity', 'attacker', 'ability', 'access', 'functionality', 'properly', 'constrained', 'acls', 'obtain', 'sensitive', 'information', 'possibly', 'compromise', 'entire', 'application', 'attacker', 'access', 'resources', 'must', 'available', 'users', 'higher', 'privilege', 'level', 'access', 'management', 'sections', 'application', 'run', 'queries', 'data', 'otherwise', 'supposed']"
1,"This attack pattern involves causing a buffer overflow through manipulation of environment variables. Once the adversary finds that they can modify an environment variable, they may try to overflow associated buffers. This attack leverages implicit trust often placed in environment variables.",this attack pattern involves causing a buffer overflow through manipulation of environment variables once the adversary finds that they can modify an environment variable  they may try to overflow associated buffers this attack leverages implicit trust often placed in environment variables ,"['this', 'attack', 'pattern', 'involves', 'causing', 'a', 'buffer', 'overflow', 'through', 'manipulation', 'of', 'environment', 'variables', 'once', 'the', 'adversary', 'finds', 'that', 'they', 'can', 'modify', 'an', 'environment', 'variable', 'they', 'may', 'try', 'to', 'overflow', 'associated', 'buffers', 'this', 'attack', 'leverages', 'implicit', 'trust', 'often', 'placed', 'in', 'environment', 'variables']","['attack', 'pattern', 'involves', 'causing', 'buffer', 'overflow', 'manipulation', 'environment', 'variables', 'adversary', 'finds', 'modify', 'environment', 'variable', 'may', 'try', 'overflow', 'associated', 'buffers', 'attack', 'leverages', 'implicit', 'trust', 'often', 'placed', 'environment', 'variables']"
2,"Buffer Overflow attacks target improper or missing bounds checking on buffer operations, typically triggered by input injected by an adversary. As a consequence, an adversary is able to write past the boundaries of allocated buffer regions in memory, causing a program crash or potentially redirection of execution as per the adversaries' choice.",buffer overflow attacks target improper or missing bounds checking on buffer operations  typically triggered by input injected by an adversary as a consequence  an adversary is able to write past the boundaries of allocated buffer regions in memory  causing a program crash or potentially redirection of execution as per the adversaries  choice ,"['buffer', 'overflow', 'attacks', 'target', 'improper', 'or', 'missing', 'bounds', 'checking', 'on', 'buffer', 'operations', 'typically', 'triggered', 'by', 'input', 'injected', 'by', 'an', 'adversary', 'as', 'a', 'consequence', 'an', 'adversary', 'is', 'able', 'to', 'write', 'past', 'the', 'boundaries', 'of', 'allocated', 'buffer', 'regions', 'in', 'memory', 'causing', 'a', 'program', 'crash', 'or', 'potentially', 'redirection', 'of', 'execution', 'as', 'per', 'the', 'adversaries', 'choice']","['buffer', 'overflow', 'attacks', 'target', 'improper', 'missing', 'bounds', 'checking', 'buffer', 'operations', 'typically', 'triggered', 'input', 'injected', 'adversary', 'consequence', 'adversary', 'able', 'write', 'past', 'boundaries', 'allocated', 'buffer', 'regions', 'memory', 'causing', 'program', 'crash', 'potentially', 'redirection', 'execution', 'per', 'adversaries', 'choice']"
3,"An attacker can use Server Side Include (SSI) Injection to send code to a web application that then gets executed by the web server. Doing so enables the attacker to achieve similar results to Cross Site Scripting, viz., arbitrary code execution and information disclosure, albeit on a more limited scale, since the SSI directives are nowhere near as powerful as a full-fledged scripting language. Nonetheless, the attacker can conveniently gain access to sensitive files, such as password files, and execute shell commands.",an attacker can use server side include  ssi  injection to send code to a web application that then gets executed by the web server doing so enables the attacker to achieve similar results to cross site scripting  viz   arbitrary code execution and information disclosure  albeit on a more limited scale  since the ssi directives are nowhere near as powerful as a full fledged scripting language nonetheless  the attacker can conveniently gain access to sensitive files  such as password files  and execute shell commands ,"['an', 'attacker', 'can', 'use', 'server', 'side', 'include', 'ssi', 'injection', 'to', 'send', 'code', 'to', 'a', 'web', 'application', 'that', 'then', 'gets', 'executed', 'by', 'the', 'web', 'server', 'doing', 'so', 'enables', 'the', 'attacker', 'to', 'achieve', 'similar', 'results', 'to', 'cross', 'site', 'scripting', 'viz', 'arbitrary', 'code', 'execution', 'and', 'information', 'disclosure', 'albeit', 'on', 'a', 'more', 'limited', 'scale', 'since', 'the', 'ssi', 'directives', 'are', 'nowhere', 'near', 'as', 'powerful', 'as', 'a', 'full', 'fledged', 'scripting', 'language', 'nonetheless', 'the', 'attacker', 'can', 'conveniently', 'gain', 'access', 'to', 'sensitive', 'files', 'such', 'as', 'password', 'files', 'and', 'execute', 'shell', 'commands']","['attacker', 'use', 'server', 'side', 'include', 'ssi', 'injection', 'send', 'code', 'web', 'application', 'gets', 'executed', 'web', 'server', 'enables', 'attacker', 'achieve', 'similar', 'results', 'cross', 'site', 'scripting', 'viz', 'arbitrary', 'code', 'execution', 'information', 'disclosure', 'albeit', 'limited', 'scale', 'since', 'ssi', 'directives', 'nowhere', 'near', 'powerful', 'full', 'fledged', 'scripting', 'language', 'nonetheless', 'attacker', 'conveniently', 'gain', 'access', 'sensitive', 'files', 'password', 'files', 'execute', 'shell', 'commands']"
4,"Session sidejacking takes advantage of an unencrypted communication channel between a victim and target system. The attacker sniffs traffic on a network looking for session tokens in unencrypted traffic. Once a session token is captured, the attacker performs malicious actions by using the stolen token with the targeted application to impersonate the victim. This attack is a specific method of session hijacking, which is exploiting a valid session token to gain unauthorized access to a target system or information. Other methods to perform a session hijacking are session fixation, cross-site scripting, or compromising a user or server machine and stealing the session token.",session sidejacking takes advantage of an unencrypted communication channel between a victim and target system the attacker sniffs traffic on a network looking for session tokens in unencrypted traffic once a session token is captured  the attacker performs malicious actions by using the stolen token with the targeted application to impersonate the victim this attack is a specific method of session hijacking  which is exploiting a valid session token to gain unauthorized access to a target system or information other methods to perform a session hijacking are session fixation  cross site scripting  or compromising a user or server machine and stealing the session token ,"['session', 'sidejacking', 'takes', 'advantage', 'of', 'an', 'unencrypted', 'communication', 'channel', 'between', 'a', 'victim', 'and', 'target', 'system', 'the', 'attacker', 'sniffs', 'traffic', 'on', 'a', 'network', 'looking', 'for', 'session', 'tokens', 'in', 'unencrypted', 'traffic', 'once', 'a', 'session', 'token', 'is', 'captured', 'the', 'attacker', 'performs', 'malicious', 'actions', 'by', 'using', 'the', 'stolen', 'token', 'with', 'the', 'targeted', 'application', 'to', 'impersonate', 'the', 'victim', 'this', 'attack', 'is', 'a', 'specific', 'method', 'of', 'session', 'hijacking', 'which', 'is', 'exploiting', 'a', 'valid', 'session', 'token', 'to', 'gain', 'unauthorized', 'access', 'to', 'a', 'target', 'system', 'or', 'information', 'other', 'methods', 'to', 'perform', 'a', 'session', 'hijacking', 'are', 'session', 'fixation', 'cross', 'site', 'scripting', 'or', 'compromising', 'a', 'user', 'or', 'server', 'machine', 'and', 'stealing', 'the', 'session', 'token']","['session', 'sidejacking', 'takes', 'advantage', 'unencrypted', 'communication', 'channel', 'victim', 'target', 'system', 'attacker', 'sniffs', 'traffic', 'network', 'looking', 'session', 'tokens', 'unencrypted', 'traffic', 'session', 'token', 'captured', 'attacker', 'performs', 'malicious', 'actions', 'using', 'stolen', 'token', 'targeted', 'application', 'impersonate', 'victim', 'attack', 'specific', 'method', 'session', 'hijacking', 'exploiting', 'valid', 'session', 'token', 'gain', 'unauthorized', 'access', 'target', 'system', 'information', 'methods', 'perform', 'session', 'hijacking', 'session', 'fixation', 'cross', 'site', 'scripting', 'compromising', 'user', 'server', 'machine', 'stealing', 'session', 'token']"
5,"An adversary tricks a victim into unknowingly initiating some action in one system while interacting with the UI from a seemingly completely different, usually an adversary controlled or intended, system.",an adversary tricks a victim into unknowingly initiating some action in one system while interacting with the ui from a seemingly completely different  usually an adversary controlled or intended  system ,"['an', 'adversary', 'tricks', 'a', 'victim', 'into', 'unknowingly', 'initiating', 'some', 'action', 'in', 'one', 'system', 'while', 'interacting', 'with', 'the', 'ui', 'from', 'a', 'seemingly', 'completely', 'different', 'usually', 'an', 'adversary', 'controlled', 'or', 'intended', 'system']","['adversary', 'tricks', 'victim', 'unknowingly', 'initiating', 'action', 'one', 'system', 'interacting', 'ui', 'seemingly', 'completely', 'different', 'usually', 'adversary', 'controlled', 'intended', 'system']"
6,An attacker is able to cause a victim to load content into their web-browser that bypasses security zone controls and gain access to increased privileges to execute scripting code or other web objects such as unsigned ActiveX controls or applets. This is a privilege elevation attack targeted at zone-based web-browser security.,an attacker is able to cause a victim to load content into their web browser that bypasses security zone controls and gain access to increased privileges to execute scripting code or other web objects such as unsigned activex controls or applets this is a privilege elevation attack targeted at zone based web browser security ,"['an', 'attacker', 'is', 'able', 'to', 'cause', 'a', 'victim', 'to', 'load', 'content', 'into', 'their', 'web', 'browser', 'that', 'bypasses', 'security', 'zone', 'controls', 'and', 'gain', 'access', 'to', 'increased', 'privileges', 'to', 'execute', 'scripting', 'code', 'or', 'other', 'web', 'objects', 'such', 'as', 'unsigned', 'activex', 'controls', 'or', 'applets', 'this', 'is', 'a', 'privilege', 'elevation', 'attack', 'targeted', 'at', 'zone', 'based', 'web', 'browser', 'security']","['attacker', 'able', 'cause', 'victim', 'load', 'content', 'web', 'browser', 'bypasses', 'security', 'zone', 'controls', 'gain', 'access', 'increased', 'privileges', 'execute', 'scripting', 'code', 'web', 'objects', 'unsigned', 'activex', 'controls', 'applets', 'privilege', 'elevation', 'attack', 'targeted', 'zone', 'based', 'web', 'browser', 'security']"
7,"An adversary abuses the flexibility and discrepancies in the parsing and interpretation of HTTP Request messages by different intermediary HTTP agents (e.g., load balancer, reverse proxy, web caching proxies, application firewalls, etc.) to split a single HTTP request into multiple unauthorized and malicious HTTP requests to a back-end HTTP agent (e.g., web server). See CanPrecede relationships for possible consequences.",an adversary abuses the flexibility and discrepancies in the parsing and interpretation of http request messages by different intermediary http agents  e g   load balancer  reverse proxy  web caching proxies  application firewalls  etc   to split a single http request into multiple unauthorized and malicious http requests to a back end http agent  e g   web server  see canprecede relationships for possible consequences ,"['an', 'adversary', 'abuses', 'the', 'flexibility', 'and', 'discrepancies', 'in', 'the', 'parsing', 'and', 'interpretation', 'of', 'http', 'request', 'messages', 'by', 'different', 'intermediary', 'http', 'agents', 'e', 'g', 'load', 'balancer', 'reverse', 'proxy', 'web', 'caching', 'proxies', 'application', 'firewalls', 'etc', 'to', 'split', 'a', 'single', 'http', 'request', 'into', 'multiple', 'unauthorized', 'and', 'malicious', 'http', 'requests', 'to', 'a', 'back', 'end', 'http', 'agent', 'e', 'g', 'web', 'server', 'see', 'canprecede', 'relationships', 'for', 'possible', 'consequences']","['adversary', 'abuses', 'flexibility', 'discrepancies', 'parsing', 'interpretation', 'http', 'request', 'messages', 'different', 'intermediary', 'http', 'agents', 'e', 'g', 'load', 'balancer', 'reverse', 'proxy', 'web', 'caching', 'proxies', 'application', 'firewalls', 'etc', 'split', 'single', 'http', 'request', 'multiple', 'unauthorized', 'malicious', 'http', 'requests', 'back', 'end', 'http', 'agent', 'e', 'g', 'web', 'server', 'see', 'canprecede', 'relationships', 'possible', 'consequences']"
8,Cross Site Tracing (XST) enables an adversary to steal the victim's session cookie and possibly other authentication credentials transmitted in the header of the HTTP request when the victim's browser communicates to a destination system's web server.,cross site tracing  xst  enables an adversary to steal the victim s session cookie and possibly other authentication credentials transmitted in the header of the http request when the victim s browser communicates to a destination system s web server ,"['cross', 'site', 'tracing', 'xst', 'enables', 'an', 'adversary', 'to', 'steal', 'the', 'victim', 's', 'session', 'cookie', 'and', 'possibly', 'other', 'authentication', 'credentials', 'transmitted', 'in', 'the', 'header', 'of', 'the', 'http', 'request', 'when', 'the', 'victim', 's', 'browser', 'communicates', 'to', 'a', 'destination', 'system', 's', 'web', 'server']","['cross', 'site', 'tracing', 'xst', 'enables', 'adversary', 'steal', 'victim', 'session', 'cookie', 'possibly', 'authentication', 'credentials', 'transmitted', 'header', 'http', 'request', 'victim', 'browser', 'communicates', 'destination', 'system', 'web', 'server']"
9,"An attacker uses standard SQL injection methods to inject data into the command line for execution. This could be done directly through misuse of directives such as MSSQL_xp_cmdshell or indirectly through injection of data into the database that would be interpreted as shell commands. Sometime later, an unscrupulous backend application (or could be part of the functionality of the same application) fetches the injected data stored in the database and uses this data as command line arguments without performing proper validation. The malicious data escapes that data plane by spawning new commands to be executed on the host.",an attacker uses standard sql injection methods to inject data into the command line for execution this could be done directly through misuse of directives such as mssql xp cmdshell or indirectly through injection of data into the database that would be interpreted as shell commands sometime later  an unscrupulous backend application  or could be part of the functionality of the same application  fetches the injected data stored in the database and uses this data as command line arguments without performing proper validation the malicious data escapes that data plane by spawning new commands to be executed on the host ,"['an', 'attacker', 'uses', 'standard', 'sql', 'injection', 'methods', 'to', 'inject', 'data', 'into', 'the', 'command', 'line', 'for', 'execution', 'this', 'could', 'be', 'done', 'directly', 'through', 'misuse', 'of', 'directives', 'such', 'as', 'mssql', 'xp', 'cmdshell', 'or', 'indirectly', 'through', 'injection', 'of', 'data', 'into', 'the', 'database', 'that', 'would', 'be', 'interpreted', 'as', 'shell', 'commands', 'sometime', 'later', 'an', 'unscrupulous', 'backend', 'application', 'or', 'could', 'be', 'part', 'of', 'the', 'functionality', 'of', 'the', 'same', 'application', 'fetches', 'the', 'injected', 'data', 'stored', 'in', 'the', 'database', 'and', 'uses', 'this', 'data', 'as', 'command', 'line', 'arguments', 'without', 'performing', 'proper', 'validation', 'the', 'malicious', 'data', 'escapes', 'that', 'data', 'plane', 'by', 'spawning', 'new', 'commands', 'to', 'be', 'executed', 'on', 'the', 'host']","['attacker', 'uses', 'standard', 'sql', 'injection', 'methods', 'inject', 'data', 'command', 'line', 'execution', 'could', 'done', 'directly', 'misuse', 'directives', 'mssql', 'xp', 'cmdshell', 'indirectly', 'injection', 'data', 'database', 'would', 'interpreted', 'shell', 'commands', 'sometime', 'later', 'unscrupulous', 'backend', 'application', 'could', 'part', 'functionality', 'application', 'fetches', 'injected', 'data', 'stored', 'database', 'uses', 'data', 'command', 'line', 'arguments', 'without', 'performing', 'proper', 'validation', 'malicious', 'data', 'escapes', 'data', 'plane', 'spawning', 'new', 'commands', 'executed', 'host']"
